SubjectID, SegmentID, Amplification 
0001, 1, 3.168439 
0001, 2, 3.168439 
0001, 3, 5.385045 
0001, 4, 6.043526 
0001, 5, 6.505460 
0001, 6, 6.505460 
0001, 7, 5.855611 
0001, 8, 5.855611 
0001, 9, 5.530464 
0001, 10, 5.530464 
0001, 11, 5.530464 
0001, 12, 6.865284 
0003, 1, 3.772507 
0003, 2, 3.587868 
0003, 3, 3.587868 
0003, 4, 3.340606 
0003, 5, 3.340606 
0003, 6, 3.340606 
0003, 7, 3.348799 
0003, 8, 3.348799 
0003, 9, 3.324001 
0003, 10, 3.324001 
0003, 11, 3.324001 
0003, 12, 3.537515 
0003, 13, 3.923841 
0003, 14, 3.923841 
0003, 15, 4.554274 
0003, 16, 4.554274 
0003, 17, 5.930860 
0003, 18, 4.087314 
0003, 19, 4.087314 
0003, 20, 3.795228 
0003, 21, 3.795228 
0004, 1, 3.900952 
0004, 2, 3.900952 
0004, 3, 6.224924 
0004, 4, 6.222560 
0004, 5, 6.222560 
0004, 6, 6.222560 
0004, 7, 7.345438 
0004, 8, 7.345438 
0004, 9, 6.921842 
0004, 10, 6.921842 
0004, 11, 6.921842 
0004, 12, 6.823823 
0004, 13, 6.823823 
0004, 14, 6.787075 
0004, 15, 6.637229 
0004, 16, 6.637229 
0004, 17, 6.637229 
0004, 18, 6.690078 
0005, 1, 1.000031 
0005, 2, 1.000031 
0005, 3, 1.010049 
0005, 4, 1.185485 
0005, 5, 1.313136 
0005, 6, 1.569649 
0005, 7, 1.569649 
0005, 8, 1.867123 
0005, 9, 1.867123 
0006, 1, 5.407261 
0006, 2, 9.536671 
0006, 3, 9.536671 
0006, 4, 11.698679 
0006, 5, 11.787050 
0006, 6, 11.787050 
0006, 7, 13.207578 
0006, 8, 13.207578 
0006, 9, 11.681996 
0006, 10, 11.681996 
0006, 11, 10.363061 
0006, 12, 10.363061 
0006, 13, 10.363061 
0006, 14, 12.082596 
0006, 15, 12.082596 
0007, 1, 1.931506 
0007, 2, 2.019724 
0007, 3, 2.287150 
0007, 4, 2.287150 
0007, 5, 2.052361 
0007, 6, 2.052361 
0008, 1, 2.532694 
0008, 2, 3.025949 
0008, 3, 4.396029 
0008, 4, 4.396029 
0008, 5, 4.396029 
0008, 6, 6.482295 
0008, 7, 7.880712 
0008, 8, 7.880712 
0008, 9, 9.227823 
0008, 10, 9.227823 
0008, 11, 8.928610 
0008, 12, 8.928610 
0010, 1, 3.383027 
0010, 2, 4.117617 
0010, 3, 4.117617 
0010, 4, 4.475280 
0010, 5, 4.475280 
0010, 6, 5.580381 
0010, 7, 5.580381 
0010, 8, 4.917167 
0010, 9, 4.917167 
0010, 10, 4.917167 
0010, 11, 5.444998 
0010, 12, 5.444998 
0010, 13, 5.548256 
0010, 14, 5.548256 
0010, 15, 5.548256 
0010, 16, 6.908708 
0010, 17, 5.727670 
0010, 18, 5.727670 
0010, 19, 5.031168 
0010, 20, 5.031168 
0010, 21, 5.031168 
0010, 22, 6.375097 
0010, 23, 6.375097 
0010, 24, 4.257243 
0011, 1, 27.863946 
0011, 2, 27.863946 
0011, 3, 31.030303 
0011, 4, 29.520721 
0011, 5, 29.520721 
0011, 6, 29.520721 
0011, 7, 34.168926 
0011, 8, 34.168926 
0011, 9, 40.255528 
0011, 10, 40.255528 
0011, 11, 50.412308 
0011, 12, 46.479433 
0011, 13, 46.479433 
0011, 14, 33.781443 
0011, 15, 33.781443 
0012, 1, 5.238689 
