SubjectID,,TriadID,,Amplification,,Length(s),,PowerOBW(W),,Power3dB(W)
1,,1,,3.168439,,0.581438,,0.021052,,0.000896
1,,2,,6.043526,,0.447437,,0.036374,,0.002633
1,,3,,6.839491,,0.454375,,0.037757,,0.001175
1,,4,,6.50546,,0.443125,,0.033441,,0.002472
1,,5,,5.855611,,0.450313,,0.026588,,0.005332
1,,6,,5.530464,,0.477812,,0.02474,,0.003101
1,,7,,6.865284,,0.483563,,0.036725,,0.010306
1,,8,,5.156255,,0.555312,,0.02002,,0.00477
3,,1,,3.772507,,0.371312,,0.039559,,0.003506
3,,2,,4.221592,,0.391437,,0.036917,,0.002062
3,,3,,3.587868,,0.393125,,0.02514,,0.00203
3,,4,,3.340606,,0.382563,,0.02572,,0.002443
3,,5,,3.406591,,0.3975,,0.024446,,0.00348
3,,6,,3.348799,,0.387625,,0.025774,,0.001374
3,,7,,3.324001,,0.431563,,0.02397,,0.005035
3,,8,,3.537515,,0.41775,,0.025624,,0.002114
3,,9,,3.923841,,0.501938,,0.022386,,0.002671
3,,10,,4.554274,,0.602062,,0.013867,,0.001262
3,,11,,5.93086,,0.431563,,0.030899,,0.001229
3,,12,,4.087314,,0.480438,,0.019676,,0.001228
3,,13,,3.795228,,0.439125,,0.015746,,0.000552
3,,14,,4.87329,,0.42,,0.019849,,0.002578
3,,15,,6.110013,,0.454062,,0.015674,,0.000348
4,,1,,3.900952,,0.616437,,0.039083,,0.00091
4,,2,,6.224924,,0.5275,,0.052174,,0.005349
4,,3,,6.22256,,0.677625,,0.055521,,0.008071
4,,4,,7.345438,,0.547687,,0.060916,,0.004244
4,,5,,6.921842,,0.525312,,0.057362,,0.004617
4,,6,,6.823823,,0.686375,,0.050022,,0.000969
4,,7,,6.787075,,0.556562,,0.048572,,0.002096
4,,8,,6.637229,,0.51275,,0.056649,,0.003853
4,,9,,6.690078,,0.565,,0.039599,,0.00247
5,,1,,1.000031,,0.543312,,0.033983,,0.003232
5,,2,,1.010049,,0.475,,0.030757,,0.000866
5,,3,,1.313136,,0.452062,,0.029234,,0.002367
5,,4,,1.569649,,0.468187,,0.033296,,0.001817
5,,5,,1.867123,,0.50725,,0.04014,,0.003033
5,,6,,1.97994,,0.56375,,0.021491,,0.000998
6,,1,,5.407261,,0.446688,,0.021235,,0.001918
6,,2,,9.536671,,0.384875,,0.031549,,0.008293
6,,3,,11.698679,,0.390937,,0.04565,,0.001275
6,,4,,11.78705,,0.415938,,0.045284,,0.00162
6,,5,,13.207578,,0.417875,,0.049044,,0.001808
6,,6,,14.021395,,0.407438,,0.049053,,0.00362
6,,7,,11.681996,,0.4215,,0.038584,,0.004635
6,,8,,10.363061,,0.4425,,0.032103,,0.00564
6,,9,,12.149796,,0.4215,,0.030272,,0.006012
6,,10,,12.082596,,0.458562,,0.033914,,0.0036
6,,11,,13.304101,,0.4285,,0.034238,,0.002366
6,,12,,11.330567,,0.533125,,0.021219,,0.004016
7,,1,,1.931506,,0.528687,,0.032709,,0.001248
7,,2,,2.440456,,0.3945,,0.025257,,0.000283
7,,3,,2.28715,,0.407687,,0.016763,,0.000518
7,,4,,2.052361,,0.3965,,0.012982,,0.000234
7,,5,,2.666016,,0.383937,,0.018348,,0.001804
7,,6,,2.677562,,0.388688,,0.014716,,0.00025
7,,7,,3.053583,,0.387562,,0.019732,,0.0004
8,,1,,2.532694,,0.57075,,0.038876,,0.008102
8,,2,,5.464977,,0.397062,,0.048426,,0.003276
8,,3,,4.396029,,0.393,,0.028485,,0.001404
8,,4,,6.482295,,0.394437,,0.038796,,0.00285
8,,5,,7.880712,,0.459313,,0.025274,,0.001976
8,,6,,9.227823,,0.435812,,0.041007,,0.009068
8,,7,,9.324986,,0.419125,,0.031559,,0.00092
8,,8,,8.92861,,0.40275,,0.035159,,0.002936
8,,9,,10.230409,,0.499563,,0.02955,,0.003056
10,,1,,3.383027,,0.467062,,0.028706,,0.002647
10,,2,,4.117617,,0.3885,,0.02399,,0.00158
10,,3,,4.47528,,0.552312,,0.04113,,0.001852
10,,4,,5.580381,,0.399375,,0.033226,,0.001388
10,,5,,6.60512,,0.390562,,0.040691,,0.003263
10,,6,,4.917167,,0.555,,0.044658,,0.000936
10,,7,,5.444998,,0.398687,,0.030628,,0.002078
10,,8,,7.115744,,0.386125,,0.04552,,0.001339
10,,9,,5.548256,,0.554063,,0.038618,,0.004273
10,,10,,6.908708,,0.412875,,0.044572,,0.004115
10,,11,,5.72767,,0.42675,,0.032079,,0.001796
10,,12,,5.031168,,0.532937,,0.028355,,0.00164
10,,13,,6.375097,,0.404062,,0.03551,,0.000931
10,,14,,7.317552,,0.388688,,0.045576,,0.003383
10,,15,,4.257243,,0.488438,,0.023243,,0.001411
11,,1,,27.863946,,0.558187,,0.035607,,0.002384
11,,2,,31.030303,,0.502812,,0.057061,,0.005369
11,,3,,29.520721,,0.500437,,0.040496,,0.003424
11,,4,,34.168926,,0.50075,,0.048321,,0.003103
11,,5,,40.255528,,0.505125,,0.053926,,0.003274
11,,6,,50.412308,,0.519062,,0.058926,,0.001607
11,,7,,46.479433,,0.502375,,0.04785,,0.003041
11,,8,,33.781443,,0.518125,,0.042813,,0.002005
11,,9,,38.415006,,0.590187,,0.03935,,0.002656
12,,1,,5.238689,,0.46675,,0.015927,,0.000487
12,,2,,6.717507,,0.44025,,0.022002,,0.001334
12,,3,,7.686606,,0.459625,,0.024085,,0.004817
12,,4,,7.182815,,0.448813,,0.016262,,0.000425
12,,5,,7.249558,,0.467687,,0.018719,,0.000912
12,,6,,6.878254,,0.449313,,0.016759,,0.001128
12,,7,,5.709706,,0.585938,,0.014568,,0.002662
13,,1,,15.883665,,0.560688,,0.025822,,0.000471
13,,2,,39.670702,,0.459625,,0.032221,,0.001333
13,,3,,39.863747,,0.456313,,0.021999,,0.001201
13,,4,,45.197241,,0.466375,,0.023256,,0.001262
13,,5,,60.457565,,0.461813,,0.029583,,0.001069
14,,1,,11.698679,,0.376563,,0.037567,,0.002284
14,,2,,15.633588,,0.3985,,0.03913,,0.000829
14,,3,,7.601021,,0.371437,,0.024027,,0.002531
14,,4,,15.537221,,0.39875,,0.036008,,0.00343
14,,5,,15.633588,,0.36775,,0.045361,,0.001749
15,,1,,12.314168,,0.386813,,0.032469,,0.004785
15,,2,,16.416834,,0.34125,,0.034276,,0.002755
15,,3,,15.544592,,0.412187,,0.026665,,0.003237
15,,4,,11.902652,,0.3515,,0.027975,,0.002448
15,,5,,12.617636,,0.358,,0.036472,,0.009905
15,,6,,13.507007,,0.35925,,0.035826,,0.002643
15,,7,,16.24591,,0.379,,0.031033,,0.003376
15,,8,,15.255121,,0.361438,,0.020642,,0.002296
15,,9,,14.827149,,0.378125,,0.018243,,0.001303
15,,10,,12.962025,,0.502188,,0.015118,,0.001235
16,,1,,6.36519,,0.510375,,0.015031,,0.000281
16,,2,,6.282209,,0.490438,,0.012187,,0.000128
16,,3,,7.783373,,0.466187,,0.020183,,0.000153
16,,4,,7.558939,,0.423625,,0.022618,,0.000175
16,,5,,7.878817,,0.478312,,0.023166,,0.000384
16,,6,,9.50348,,0.442812,,0.025184,,0.000381
16,,7,,13.413017,,0.334,,0.015631,,0.000321
17,,5,,16.047013,,0.3345,,0.031443,,0.005447
17,,1,,9.332954,,0.538625,,0.031176,,0.000723
17,,2,,8.233166,,0.439563,,0.022645,,0.001215
17,,3,,9.858002,,0.460375,,0.024242,,0.001588
17,,4,,13.282529,,0.385688,,0.023083,,0.000881
18,,1,,6.642611,,0.52825,,0.022858,,0.000544
18,,2,,9.686077,,0.506313,,0.024537,,0.000896
18,,3,,11.985369,,0.45825,,0.028213,,0.002942
18,,4,,10.922667,,0.448875,,0.02002,,0.001516
18,,5,,13.867118,,0.418563,,0.017671,,0.002073
18,,6,,15.248022,,0.434437,,0.020841,,0.001326
18,,7,,16.864642,,0.413562,,0.025679,,0.001714
18,,8,,11.19508,,0.508938,,0.011193,,0.000589
19,,1,,8.151244,,0.493312,,0.02285,,0.000653
19,,2,,9.761096,,0.449062,,0.025943,,0.002446
19,,3,,13.920136,,0.455437,,0.035867,,0.002873
19,,4,,13.855391,,0.461,,0.028679,,0.002485
19,,5,,15.588963,,0.465125,,0.026979,,0.003211
19,,6,,14.69417,,0.477375,,0.019325,,0.001876
19,,7,,17.346744,,0.464438,,0.022332,,0.00092
19,,8,,13.086262,,0.453875,,0.022637,,0.000714
19,,9,,20.713021,,0.557562,,0.030167,,0.000904
20,,1,,5.696801,,0.828,,0.016532,,0.000492
20,,2,,5.913734,,0.807312,,0.015143,,0.000254
20,,3,,5.580381,,0.656813,,0.012758,,0.000694
20,,4,,6.248665,,0.637375,,0.011687,,0.00073
20,,5,,13.896522,,0.579438,,0.021134,,0.000793
20,,6,,7.472748,,0.553,,0.016266,,0.00109
20,,7,,9.603751,,0.504,,0.016057,,0.001287
20,,8,,9.561716,,0.521125,,0.018029,,0.001296
20,,9,,9.437788,,0.506437,,0.017183,,0.002053
20,,10,,7.844865,,0.48475,,0.012508,,0.001964
21,,1,,1.443715,,0.38225,,0.026279,,0.001597
21,,2,,1.782032,,0.371625,,0.033181,,0.000856
