SubjectID, Amplification, Length(s), PowerOBW(W), Power3dB(W), Fc(Hz) 
1,3.310269,3.43,0.10634,0.01109,0.01518355
2,3.126803,6.40575,0.164732,0.03118,0.01439893
3,2.559394,3.251,0.111441,0.017483,0.02724715
5,2.443805,2.90575,0.136826,0.040647,0.03327153
6,3.166956,4.4255,0.101244,0.026288,0.02612272
7,1.958092,6.009,0.089508,0.020698,0.01479568
8,2.8992,10.4165,0.055394,0.010347,0.008122044
9,6.366694,3.31175,0.123512,0.018567,0.01935638
10,2.508323,3.15325,0.089949,0.015985,0.02191552
11,3.764209,6.45875,0.038563,0.007687,0.01585511
13,3.262037,4.17375,0.138598,0.029462,0.02187089
14,2.485561,2.414,0.111767,0.031513,0.04133024
15,2.943785,6.678,0.096428,0.024228,0.01609514
16,2.368628,6.46925,0.149303,0.030053,0.00970778
17,2.459178,7.44575,0.035678,0.007407,0.01120261
20,2.626139,5.294,0.059527,0.015527,0.01827558
21,3.779739,7.1855,0.056286,0.016803,0.01668754
22,3.914629,4.8375,0.061753,0.011729,0.01967103
23,2.231925,6.3155,0.102327,0.017476,0.01003418
24,1.776022,3.3475,0.075897,0.027792,0.06821068
25,2.597358,3.3035,0.101699,0.02764,0.0316424
26,2.549673,3.5375,0.050399,0.012681,0.03573057
27,3.630802,4.4565,0.065978,0.013612,0.026415
29,2.868773,2.32775,0.125233,0.024398,0.0369211
30,2.331096,1.37675,0.186509,0.052169,0.06556984
31,3.580504,5.77725,0.047279,0.010416,0.01907359
32,2.581554,6.4845,0.115197,0.026547,0.01479868
34,2.337746,3.2505,0.113963,0.030315,0.03327615
35,2.441007,5.733,0.09159,0.019258,0.01759767
37,2.870193,2.50275,0.23333,0.041163,0.0247281
38,2.388838,4.104,0.113378,0.017599,0.01422036
39,2.044208,1.3605,0.221563,0.073907,0.0914509
41,3.222795,1.88575,0.123077,0.030326,0.05592635
42,2.297046,1.7345,0.131868,0.025322,0.04743235
43,1.922175,3.6385,0.125679,0.024095,0.02209702
45,3.071839,3.665,0.132605,0.020372,0.01486786
46,3.353286,2.13925,0.123979,0.050773,0.075082
47,2.535558,7.70825,0.044253,0.010996,0.0144055
48,1.838392,4.18275,0.116777,0.025458,0.01946633
49,2.442065,4.6445,0.07828,0.024445,0.0238198
50,2.729105,5.067,0.033151,0.005096,0.01772565
51,2.811277,6.0705,0.045808,0.008021,0.01710739
52,4.049156,4.9785,0.054994,0.008597,0.01478138
53,2.103675,5.455,0.051699,0.011923,0.0199946
54,2.658123,2.7465,0.104731,0.019977,0.03105804
55,2.343745,5.60425,0.082699,0.02646,0.02259871
56,2.98118,2.5005,0.114924,0.024744,0.03673524
57,2.135062,7.59175,0.069067,0.021594,0.01519821
58,2.589387,6.9315,0.056545,0.011391,0.01180962
59,1.945912,6.3055,0.114987,0.027022,0.01510726
, ,,,,
